                    - SPARES  LIST -


                    - PART SUMMARY -

MAX4741_ALLPINS_UDFN8-SON50P200X200X80-8M,MAX4741ELA+,10-MAX4741ELA-L-MAX4741ELA+,SON50P200X200X80-8M		2
MAX4995_UTQFN10-QFN40P180X140X55-10M,MAX4995AAVB+,10-MAX4995AAVB-T-MAX4995AAVB+,QFN40P180X140X55-10M		1
MAX8880_SOT23-6-SOT95P280X145-6M,MAX8880EUT+,10-MAX8880EUT-U-MAX8880EUT+,SOT95P280X145-6M		1
MAX8881_SOT23-6-SOT95P280X145-6M,MAX8881EUT33,10-MAX8881EUT33-U-MAX8881EUT33,SOT95P280X145-6M		1
MAX9064_UCSP4-UCSP4C50P2X2_100X100X67,MAX9064EBS+G45,10-MAX9064EBSG45-B-MAX9064EBS+G45,UCSP4C50P2X2_100X100X67		2
RES_0402RES-0402,0,80-0000R-26A-0,0402		8
RES_0402RES-0402,100K,80-0100K-Q6-0402,100K		2
RES_0402RES-0402,10K,80-0010K-23-0402,10K		6
RES_0402RES-0402,1K,80-0001K-18-0402,1K		1
RES_0402RES-0402,1K,80-0001K-23-0402,1K		2
RES_0402RES-0402,1M,80-0001M-23G-0402,1M		5
RES_0402RES-0402,2.49K,80-02K49-AA23-0402,2.49K		2
RES_0402RES-0402,4.7K,80-004K7-18-0402,4.7K		9
RES_0402RES-0402,49.9K,80-049K9-18-0402,49.9K		2
RES_0402RES-0402,499K,80-0499K-23-0402,499K		1
RES_0402RES-0402,5.1K,80-005K1-18-0402,5.1K		2
RES_0402RES-0402,576K,80-0576K-23-0402,576K		1
RES_0603RES-0603,324K,80-0324K-B3E-0603,324K		1
S25FS256S_WSON8-EP-SON127P800X600X80-9M,S25FS256SAGNFI001,10-S25FS256SAGNFI001-G-S25FS256SAGNFI001,SON127P800X600X80-9M		1
SN74AVC4T234_UCSP11-BGA11C43X25P3X7_140X200X45M,SN74AVC4T234ZSUR,10-SN74AVC4T234ZSUR-B-BGA11C43X25P3X7_140X200X45M,SN74AVC4T234ZSUR		1
TRAN_DCH_8P_MICROFET-FAIRCHILD_MICROFET_UMLP,FDME1034CZT,90-FDME1034CZT-02-FAIRCHILD_MICROFET_UMLP,FDME1034CZT		2
TRAN_NCH_3P_SOT883B-TRXDFN100X60X40-3M,PMZB600UNE,90-PMZB600UNE-25-PMZB600UNE,TRXDFN100X60X40-3M		2
XTAL_ABS07-XTAL320X150X90M,32.768KHZ,60-32K76-0AL-32.768KHZ,XTAL320X150X90M		1
XTAL_XTAL320X250X080M-XTAL320X250X080M,26MHZ,60-0026M-0AM-26MHZ,XTAL320X250X080M		1

Total                                     187
